CSAFP,CBSAFP,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,stream_length_meters,stream_length_miles,area_m2
,37340,37340,310M700US37340,"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL Metro Area",M1,1,G3110,2628767922,1403935646,+28.2983112,-080.7003334,68860.44152825131,42.788000999323515,4032709627.284725
488,34900,34900,310M700US34900,"Napa, CA","Napa, CA Metro Area",M1,1,G3110,1947608460,104442635,+38.5070999,-122.3259045,168948.17418786147,104.97978934709973,2052051306.5985749
294,35220,35220,310M700US35220,"New Castle, IN","New Castle, IN Micro Area",M2,2,G3110,1014957932,7652085,+39.9295911,-085.3973629,153261.44197854423,95.2324816251036,1022610000.2331791
,19700,19700,310M700US19700,"Deming, NM","Deming, NM Micro Area",M2,2,G3110,7679773818,433660,+32.1845231,-107.7471911,0.0,0.0,7680207470.11338
428,20100,20100,310M700US20100,"Dover, DE","Dover, DE Metro Area",M1,1,G3110,1517891101,549776917,+39.0970884,-075.5029819,253783.28771791645,157.69401600526703,2067668239.919232
288,20900,20900,310M700US20900,"El Campo, TX","El Campo, TX Micro Area",M2,2,G3110,2813099005,21306092,+29.2784805,-096.2296745,420813.9360575855,261.48230706847875,2834404954.2691865
,25740,25740,310M700US25740,"Helena, MT","Helena, MT Metro Area",M1,1,G3110,16336962760,226240564,+46.7157522,-112.1351552,2138340.7439348837,1328.7066399486025,16563204633.000742
,29540,29540,310M700US29540,"Lancaster, PA","Lancaster, PA Metro Area",M1,1,G3110,2444751650,103368817,+40.0419921,-076.2501980,524380.7504659859,325.83590196352907,2548120463.5874596
490,29720,29720,310M700US29720,"Lares, PR","Lares, PR Micro Area",M2,2,G3110,159165870,485277,+18.2769246,-066.8695875,44629.30208260186,27.73143156983724,159651137.93615496
238,29740,29740,310M700US29740,"Las Cruces, NM","Las Cruces, NM Metro Area",M1,1,G3110,9863137491,17594316,+32.3499190,-106.8349684,140342.5408069475,87.20502864960015,9880730743.112268
400,29980,29980,310M700US29980,"Lawrenceburg, TN","Lawrenceburg, TN Micro Area",M2,2,G3110,1598359116,2218403,+35.2204764,-087.3965460,302154.3090682913,187.75044991629568,1600577585.6295996
,30060,30060,310M700US30060,"Lebanon, MO","Lebanon, MO Micro Area",M2,2,G3110,1980522177,8720826,+37.6596977,-092.5948430,168714.91932068608,104.83485113194607,1989243138.734242
,30150,30150,310M700US30150,"Lebanon-Claremont, NH-VT","Lebanon-Claremont, NH-VT Micro Area",M2,2,G3110,10107806473,174717453,+43.7857256,-072.1591415,1765628.2680042174,1097.1132687960392,10282524528.915775
,30300,30300,310M700US30300,"Lewiston, ID-WA","Lewiston, ID-WA Metro Area",M1,1,G3110,3844567744,32544610,+46.2516957,-116.9250166,494350.4623902763,307.17589967954336,3877112860.505688
336,30460,30460,310M700US30460,"Lexington-Fayette, KY","Lexington-Fayette, KY Metro Area",M1,1,G3110,3807196411,37041509,+38.1028763,-084.4385451,877079.2955868088,544.9931621576602,3844238105.032238
548,30500,30500,310M700US30500,"Lexington Park, MD","Lexington Park, MD Metro Area",M1,1,G3110,1480898943,1392242766,+38.3126957,-076.5279346,142338.369354573,88.44518209612201,2873141946.0225835
558,30820,30820,310M700US30820,"Lock Haven, PA","Lock Haven, PA Micro Area",M2,2,G3110,2304129980,23182058,+41.2395075,-077.6290090,372414.09160870535,231.4079632698531,2327312560.9878397
105,31060,31060,310M700US31060,"Los Alamos, NM","Los Alamos, NM Micro Area",M2,2,G3110,282626746,208105,+35.8700469,-106.3079679,11843.936551096613,7.359499267461576,282834896.84689784
350,31140,31140,310M700US31140,"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN Metro Area",M1,1,G3110,10258517055,204993947,+38.2243628,-085.7019893,1722212.549079451,1070.1359247141381,10463511336.831299
352,31180,31180,310M700US31180,"Lubbock, TX","Lubbock, TX Metro Area",M1,1,G3110,13635250532,29028929,+33.4664357,-101.8833475,131228.9220233469,81.54207440525117,13664280097.18518
,31380,31380,310M700US31380,"Macomb, IL","Macomb, IL Micro Area",M2,2,G3110,1526291866,2060301,+40.4558082,-090.6789543,209413.07847112764,130.1235776598653,1528352156.1852686
