CBSAFP,GREATLAKE,OCEAN
37340,0,1
34900,0,1
35220,0,
19700,0,
20100,0,1
20900,0,
25740,0,
29540,0,
29720,0,1
29740,0,
29980,0,
30060,0,
30150,0,
30300,0,
30460,0,
30500,0,1
30820,0,
31060,0,
31140,0,
31180,0,
31380,0,
31420,0,
31500,0,
31620,0,
31740,0,
26860,0,
26420,0,1
27780,0,
28100,0,
28660,0,
29860,0,
30260,0,
31020,0,1
15260,0,1
15460,0,
15980,0,1
16260,0,
16940,0,
17420,0,
17620,0,1
18340,0,
36660,0,
36740,0,1
36780,0,
36820,0,
36940,0,
36980,0,
37060,0,
29180,0,1
29460,0,
29900,0,
14140,0,
14260,0,
37940,0,
38340,0,
40340,0,
34780,0,
36500,0,1
18900,0,
20220,0,
20820,0,
12900,0,
13100,0,
13180,0,
13420,0,
13700,0,
18100,0,
18420,0,
18460,0,
11700,0,
11820,0,1
11940,0,
12060,0,
12380,0,
12660,0,
12700,0,1
13820,0,
10660,0,
38940,0,1
39150,0,
39340,0,
39420,0,
39580,0,
39820,0,
39940,0,
40100,0,
40300,0,
40700,0,1
23540,0,1
23820,0,
25580,0,
25780,0,
26020,0,
26300,0,
26580,0,
27420,0,
27700,0,1
27900,0,
28020,0,
28340,0,
29420,0,
30280,0,
30380,0,
12980,0,
13060,0,1
13140,0,1
13220,0,
13260,0,
13340,0,
13540,0,
13660,0,
13740,0,
13940,0,
14010,0,
14020,0,
14420,0,
14540,0,
14660,0,
14700,0,
15060,0,1
15380,1,
41500,0,1
41740,0,1
42420,0,
42540,0,
42700,0,
42780,0,
42980,0,
43500,0,
34500,0,
29940,0,
30180,0,
30420,0,
11100,0,
12300,0,1
12620,0,1
17820,0,
36100,0,
36620,0,
36900,0,
37540,0,
38100,0,
38620,0,
39300,0,1
39700,0,1
40080,0,
40540,0,
40980,1,
22800,0,
23380,1,
16820,0,
17220,0,
18620,0,
45900,1,
46060,0,
46180,0,
46300,0,
46340,0,
46500,0,
46620,0,
46780,0,
46820,0,
47080,0,
47340,0,
47460,0,
47540,0,
47660,0,
47920,0,
47930,0,1
48060,1,
48220,0,
14620,0,
14780,0,
15180,0,1
15340,0,
16140,0,
16380,0,
16580,0,
17500,0,
18500,0,
18700,0,
19100,0,
19300,0,1
19500,0,
19810,0,
19860,0,
20060,0,
21140,0,
38660,0,1
38820,0,1
38920,0,1
39040,0,1
40140,0,1
40900,0,1
41060,0,
42200,0,1
43060,0,
43180,0,
43420,0,
44300,0,
44500,0,
44780,0,
45020,0,
45220,0,1
45520,0,
18980,0,
19140,0,
19760,0,
19820,1,
22620,0,
24620,0,
25180,0,
10100,0,
11380,0,
12460,0,
13900,0,
24260,0,
24460,0,
41460,0,
41620,0,
41760,0,
41860,0,1
41980,0,1
42020,0,1
42140,0,
42340,0,1
42380,0,
42620,0,
42660,0,1
42740,0,
42860,0,
42900,0,
43100,1,
43260,0,
17060,0,
17300,0,
17380,0,
17740,0,
17780,0,
21420,0,
21740,0,
22020,0,
22220,0,
22260,0,
22580,0,
22660,0,
22820,0,
16620,0,
16860,0,
17020,0,
10580,0,
12740,0,
28300,0,
28580,0,1
28700,0,
28740,0,
28880,0,1
29200,0,
29380,0,
29780,0,
14100,0,
14180,0,
14300,0,
14460,0,1
14500,0,
14710,0,
14820,0,
14940,0,
10380,0,1
10420,0,
10500,0,
10620,0,
10740,0,
10760,0,
10780,0,
10900,0,
11140,0,
11260,0,1
11420,0,
11460,0,
11580,0,1
23340,0,
28780,0,1
29620,0,
15100,0,
15860,0,
28500,0,
28540,0,1
28620,0,1
28680,0,1
28860,0,
28900,0,
28940,0,
29020,0,
29300,0,
26140,0,1
26460,0,
27060,0,
27140,0,
27260,0,1
24500,0,
12940,0,1
14380,0,
24860,0,
39460,0,1
39540,1,
39860,0,
39960,0,
40760,0,
35460,0,
35660,1,
19180,0,
19980,0,
21020,0,1
36830,0,
40420,0,
40460,0,
40620,0,
40660,0,
40780,0,
40860,0,
40940,0,
41100,0,
15540,0,
15900,0,
16220,0,
26220,0,
27300,0,
28180,0,1
29060,0,
30140,0,
31300,0,
31340,0,
31580,0,
32100,1,
32620,0,
33180,0,
33740,0,
34460,0,
34700,0,
35060,0,
35300,0,1
20660,0,1
20940,0,
13780,0,
14740,0,1
14860,0,1
32820,0,
33140,1,
33900,0,
32000,0,
25900,0,1
26740,0,
10700,0,
10860,0,
11060,0,
11180,0,
11360,0,
11640,0,1
41140,0,
35740,0,
11660,0,
11860,0,
11900,0,
11980,0,
12020,0,
12100,0,1
12140,0,
12180,1,
12520,0,
12780,0,
12860,0,
40260,0,
40580,0,
33700,0,
34220,0,
30020,0,
30340,0,1
31700,0,
31930,0,
32140,0,
38180,0,
38380,0,
27980,0,1
28450,1,
28820,0,
44980,0,
45060,1,
45620,0,
45820,0,
45340,0,
45860,0,
45980,0,
46020,0,
46100,0,
46140,0,
46220,0,
46460,0,
46520,0,1
46580,0,1
45460,0,
45500,0,
46700,0,1
46900,0,
46980,0,
47180,0,
47240,0,1
47380,0,
47580,0,
47700,0,
47780,0,
43300,0,
27020,0,
30900,0,
15220,0,
17140,0,
19620,0,
24220,0,
39900,0,
40380,1,
33780,1,
30620,0,
32280,0,
47020,0,1
47220,0,1
47300,0,
47420,0,
47620,0,
47900,0,1
48200,0,
21820,0,
21980,0,
22140,0,
22380,0,
15020,0,
15740,0,
18180,0,
20140,0,
40740,0,
38740,0,
39500,0,
40090,0,
19340,0,
19540,0,
19660,0,1
19740,0,
20260,1,
20460,0,
20980,0,
35900,0,
36420,0,
36540,0,
18860,0,1
18880,0,1
19260,0,
34300,0,
34340,0,
34380,0,
34580,0,1
34620,0,
34820,0,1
34860,0,
34940,0,1
35100,0,1
35440,0,1
35580,0,
35840,0,1
36020,0,1
36180,0,1
36220,0,
36260,0,
36380,0,
15420,0,
15500,0,
15620,0,
15700,0,1
15780,0,
15940,0,
16180,0,
16300,0,
16340,0,
16460,0,
16540,0,
16660,0,
16740,0,
17260,0,
17410,1,
17580,0,
17650,0,
17660,0,
32020,0,
32060,0,
32180,0,
32340,0,
32380,0,
32420,0,1
32460,0,
32860,0,
32940,0,
33020,0,
33060,0,
33300,0,
33340,1,
33540,0,
33660,0,1
33980,0,1
34020,0,1
34100,0,
24940,0,
25020,0,1
25100,0,
25200,0,
25220,0,1
25460,0,
25540,0,1
25700,0,
25820,0,
25880,0,
25980,0,1
26340,1,
26380,0,1
26540,0,
26620,0,
16700,0,1
16980,1,
17640,0,1
17900,0,
18140,0,
11740,0,
12260,0,
12420,0,
13020,1,
13300,0,
16500,0,1
10480,0,
10980,1,
11540,1,
26660,0,
26700,0,
26780,0,
26980,0,
27100,0,
27180,0,
27340,0,1
27460,1,
27600,0,
27740,0,
27860,0,
27940,0,1
28260,0,
28380,0,
30580,0,
30660,0,
30780,0,
30980,0,
31540,0,
31680,0,
31860,0,
31940,1,
32300,0,
25850,0,
25860,0,
49780,0,
41180,0,
41260,0,
41400,0,
17340,0,
33910,0,
39220,0,
39780,0,
36700,0,
36840,0,
37020,0,
37300,0,
