State,Full Home Rule,Impact,Service Plan,Public Hearing,Incorp req dummy,abbr
Alabama,0,0,0,0,0,AL
Alaska,1,0,0,1,1,AK
Arizona,1,0,0,1,1,AZ
Arkansas,0,0,1,1,2,AR
California,1,0,1,1,2,CA
Colorado,1,0,1,1,2,CO
Connecticut,1,0,0,0,0,CT
Delaware,0,0,0,0,0,DE
Florida,1,0,1,1,2,FL
Georgia,1,0,1,1,2,GA
Hawaii,1,0,0,0,0,HI
Idaho,1,0,0,0,0,ID
Illinois,1,0,0,1,1,IL
Indiana,0,0,1,1,2,IN
Iowa,1,0,0,1,1,IA
Kansas,0,0,1,1,2,KS
Kentucky,0,1,0,1,2,KY
Louisiana,1,0,0,1,1,LA
Maine,1,0,0,0,0,ME
Maryland,1,0,1,1,2,MD
Massachusetts,1,0,0,0,0,MA
Michigan,1,0,0,1,1,MI
Minnesota,1,0,0,1,1,MN
Mississippi,0,0,1,1,2,MS
Missouri,1,0,1,1,2,MO
Montana,0,0,1,0,1,MT
Nebraska,0,0,1,0,1,NE
Nevada,0,0,1,0,1,NV
New Hampshire,0,0,0,0,0,NH
New Jersey,1,0,0,0,0,NJ
New Mexico,1,0,0,0,0,NM
New York,1,0,0,0,0,NY
North Carolina,0,1,1,1,3,NC
North Dakota,1,0,0,0,0,ND
Ohio,1,0,1,0,1,OH
Oklahoma,0,0,1,0,1,OK
Oregon,1,1,0,1,2,OR
Pennsylvania,1,0,0,0,0,PA
Rhode Island,1,0,0,0,0,RI
South Carolina,0,0,0,0,0,SC
South Dakota,1,1,1,1,3,SD
Tennessee,1,0,1,0,1,TN
Texas,0,1,1,1,3,TX
Utah,0,1,0,1,2,UT
Vermont,0,0,0,0,0,VT
Virginia,0,0,0,0,0,VA
Washington,1,0,0,0,0,WA
West Virginia,1,0,0,0,0,WV
Wisconsin,0,0,0,0,0,WI
Wyoming,0,1,1,1,3,WY
