cbsacode,num_counties,cbsatitle,num_munis,num_local,pop_muni,pop_total,hhi_pop_muni,hhi_pop_total,munis_pp,share_in_central_city,cbsa_type,index_circ,index_rect,index_circ_central,index_rect_central
35620,18,"New York-Newark-Jersey City, NY-NJ",376,547,13587249,20686896,0.390423766,0.171810643,2.767300429984e-05,0.409317715,Metropolitan Statistical Area,0.613449095,0.46977152,0.598355989,0.36603697
16980,11,"Chicago-Naperville-Elgin, IL-IN",342,544,8641884,15125853,0.101000103,0.035337627,3.957470384929e-05,0.178274574,Metropolitan Statistical Area,0.640441228,0.482153174,0.652027265,0.467603184
31080,2,"Los Angeles-Long Beach-Anaheim, CA",122,122,11866079,11866079,0.113355922,0.113355922,1.028140803714e-05,0.324395026,Metropolitan Statistical Area,0.609102586,0.465888057,0.625052639,0.558574158
19100,11,"Dallas-Fort Worth-Arlington, TX",201,201,7084182,7084182,0.063809225,0.063809225,2.83730711605e-05,0.181878021,Metropolitan Statistical Area,0.625695957,0.511751275,0.716112978,0.5624646
37980,10,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",163,373,2628113,5729305,0.362784602,0.079055483,6.202168628213e-05,0.275120804,Metropolitan Statistical Area,0.618379676,0.477822835,0.655854227,0.482870511
14460,6,"Boston-Cambridge-Newton, MA-NH",36,196,2580119,4898150,0.084660046,0.025729995,1.395284481064e-05,0.133678225,Metropolitan Statistical Area,0.516566172,0.342091167,0.602329576,0.49366842
19820,6,"Detroit-Warren-Dearborn, MI",109,207,2853011,4431299,0.065446039,0.030611538,3.820525052304e-05,0.142726546,Metropolitan Statistical Area,0.494943247,0.241968904,0.541743345,0.433411358
38060,2,"Phoenix-Mesa-Chandler, AZ",33,33,4406705,4406705,0.17057585,0.17057585,7.48858841243e-06,0.368658442,Metropolitan Statistical Area,0.68615658,0.522617847,0.680798809,0.461638611
33100,3,"Miami-Fort Lauderdale-West Palm Beach, FL",104,104,4252054,4252054,0.030079354,0.030079354,2.445876745685e-05,0.103453531,Metropolitan Statistical Area,0.630896925,0.396358295,0.610872128,0.533568237
41860,5,"San Francisco-Oakland-Fremont, CA",65,65,4169262,4169262,0.063691137,0.063691137,1.559028912071e-05,0.19552645,Metropolitan Statistical Area,0.604869852,0.476891141,0.828534733,0.235058427
40140,2,"Riverside-San Bernardino-Ontario, CA",52,52,3950885,3950885,0.03307478,0.03307478,1.31616080954e-05,0.080301249,Metropolitan Statistical Area,0.605686168,0.463920169,0.487938313,0.425323575
26420,10,"Houston-Pasadena-The Woodlands, TX",128,128,3886417,3886417,0.353535488,0.353535488,3.29352202813e-05,0.588781389,Metropolitan Statistical Area,NA,NA,0.779776704,0.706511902
26900,11,"Indianapolis-Carmel-Greenwood, IN",87,196,1782606,3849358,0.258906301,0.066454166,4.880495185139e-05,0.229139249,Metropolitan Statistical Area,0.616838184,0.438461671,0.443568729,0.128187523
33460,15,"Minneapolis-St. Paul-Bloomington, MN-WI",212,371,3400027,3682342,0.032820454,0.02804873,6.235244602469e-05,0.115506925,Metropolitan Statistical Area,0.490675721,0.223791539,0.504972097,0.220968315
42660,3,"Seattle-Tacoma-Bellevue, WA",78,78,2967053,2967053,0.082144332,0.082144332,2.62887113914e-05,0.247356215,Metropolitan Statistical Area,0.56143244,0.432606129,0.460628032,0.242220273
41740,1,"San Diego-Chula Vista-Carlsbad, CA",18,18,2773433,2773433,0.273015918,0.273015918,6.49015137556e-06,0.498159141,Metropolitan Statistical Area,0.614720122,0.486525609,0.684910843,0.542892132
18140,10,"Columbus, OH",99,256,1630868,2561437,0.31688384,0.131307568,6.070387057689e-05,0.353913838,Metropolitan Statistical Area,0.58556152,0.50867507,0.573653352,0.56806499
41180,15,"St. Louis, MO-IL",270,375,1951509,2530443,0.034432358,0.02215606,0.000138354,0.11591251,Metropolitan Statistical Area,0.628675053,0.468934368,0.72272415,0.444015829
12060,29,"Atlanta-Sandy Springs-Roswell, GA",146,146,2524536,2524536,0.052762487,0.052762487,5.783240959922e-05,0.196654355,Metropolitan Statistical Area,0.620847308,0.505372383,0.501694695,0.439047251
38300,8,"Pittsburgh, PA",265,483,1170175,2439023,0.072512726,0.019927843,0.000226462,0.12317678,Metropolitan Statistical Area,0.561608139,0.45681853,0.534434148,0.45775066
19740,10,"Denver-Aurora-Centennial, CO",45,45,2326229,2326229,0.142355598,0.142355598,1.934461310558e-05,0.305843922,Metropolitan Statistical Area,0.703146524,0.572085482,0.818222201,0.667845303
17140,14,"Cincinnati, OH-KY-IN",139,236,1210734,2254633,0.078510483,0.028987467,0.000114806,0.1370223,Metropolitan Statistical Area,0.629848859,0.50733727,0.709831577,0.616516833
17410,6,"Cleveland, OH",114,199,1816027,2230330,0.054529172,0.036901437,6.277439707669e-05,0.16499397,Metropolitan Statistical Area,0.521625469,0.316958847,0.674060306,0.639684457
28140,13,"Kansas City, MO-KS",163,239,2008014,2106407,0.096405526,0.087686771,8.117473284548e-05,0.241356015,Metropolitan Statistical Area,0.656343109,0.467503284,0.737407361,0.513700781
41700,8,"San Antonio-New Braunfels, TX",54,54,1907709,1907709,0.583752035,0.583752035,2.830620393361e-05,0.761045317,Metropolitan Statistical Area,0.619642385,0.541283446,0.586579736,0.534453816
16740,11,"Charlotte-Concord-Gastonia, NC-SC",79,79,1875957,1875957,0.232629174,0.232629174,4.211183945047e-05,0.468938787,Metropolitan Statistical Area,0.593217696,0.528416005,0.467894474,0.443249325
41940,2,"San Jose-Sunnyvale-Santa Clara, CA",17,17,1845560,1845560,0.305192573,0.305192573,9.2112963003e-06,0.532894623,Metropolitan Statistical Area,0.682491346,0.550811774,0.765540354,0.63238362
38900,7,"Portland-Vancouver-Hillsboro, OR-WA",58,58,1775481,1775481,0.157847628,0.157847628,3.266720398584e-05,0.36112017,Metropolitan Statistical Area,0.57386598,0.468317845,0.523305553,0.455353169
12420,5,"Austin-Round Rock-San Marcos, TX",49,49,1708042,1708042,0.334616264,0.334616264,2.868781915198e-05,0.564492559,Metropolitan Statistical Area,0.621890562,0.568723972,0.555861899,0.547258282
47900,20,"Washington-Arlington-Alexandria, DC-VA-MD-WV",94,94,1688516,1688516,0.176842904,0.176842904,5.567018612793e-05,0.396827747,Metropolitan Statistical Area,0.543920395,0.405746729,0.585172721,0.338067626
39300,5,"Providence-Warwick, RI-MA",13,59,900182,1675774,0.106438787,0.036749286,1.444152404735e-05,0.113196648,Metropolitan Statistical Area,0.594926557,0.424054599,0.390853965,0.336072739
34980,14,"Nashville-Davidson--Murfreesboro--Franklin, TN",55,55,1588585,1588585,0.218205774,0.218205774,3.462200637674e-05,0.443132096,Metropolitan Statistical Area,0.638135386,0.531932135,NA,NA
33340,4,"Milwaukee-Waukesha, WI",63,90,1446632,1566724,0.167646594,0.143222628,4.35494306776e-05,0.363388829,Metropolitan Statistical Area,0.541153112,0.314962459,0.650432691,0.473875363
47260,12,"Virginia Beach-Chesapeake-Norfolk, VA-NC",15,15,1501107,1501107,0.177615013,0.177615013,9.99262544242e-06,0.304889658,Metropolitan Statistical Area,0.493354606,0.327088392,0.437591386,0.251756822
40900,4,"Sacramento-Roseville-Folsom, CA",19,19,1499047,1499047,0.16554701,0.16554701,1.267471933835e-05,0.350249859,Metropolitan Statistical Area,0.615080588,0.448840609,0.649588531,0.447449547
31140,12,"Louisville/Jefferson County, KY-IN",138,179,1191004,1462059,0.431970914,0.290287915,0.000115869,0.532040089,Metropolitan Statistical Area,0.623174267,0.488924256,NA,NA
36420,7,"Oklahoma City, OK",77,77,1308343,1308343,0.297621737,0.297621737,5.885306834675e-05,0.525645798,Metropolitan Statistical Area,0.58135821,0.417205814,0.576321942,0.414669237
29820,1,"Las Vegas-Henderson-North Las Vegas, NV",5,5,1279138,1279138,0.365454162,0.365454162,3.90888238798e-06,0.505645208,Metropolitan Statistical Area,0.677389784,0.542176816,0.720047297,0.606654831
15380,2,"Buffalo-Cheektowaga, NY",26,63,503227,1251108,0.322754546,0.079334163,5.166654412422e-05,0.221249484,Metropolitan Statistical Area,0.516282064,0.298976605,0.416837756,0.138102364
41620,2,"Salt Lake City-Murray, UT",30,30,1234990,1234990,0.075389668,0.075389668,2.429169466959e-05,0.162331679,Metropolitan Statistical Area,0.619079064,0.420092785,0.630492747,0.434675665
45300,4,"Tampa-St. Petersburg-Clearwater, FL",35,35,1194072,1194072,0.172515805,0.172515805,2.931146530527e-05,0.324142933,Metropolitan Statistical Area,0.714886546,0.565790686,0.800377795,0.557694745
24340,5,"Grand Rapids-Wyoming-Kentwood, MI",44,134,530853,1191227,0.179852821,0.044285232,8.288546923536e-05,0.165724921,Metropolitan Statistical Area,0.574082975,0.435288502,0.586423626,0.50883251
40380,5,"Rochester, NY",40,117,347215,1167742,0.374522726,0.052885531,0.000115202,0.180353194,Metropolitan Statistical Area,0.629812529,0.544516255,0.65180953,0.588318275
25540,2,"Hartford-West Hartford-East Hartford, CT",4,56,241569,1148947,0.380601649,0.036736584,1.655841602192e-05,0.104944789,Metropolitan Statistical Area,0.553331784,0.330221834,0.491510742,0.165449473
36740,4,"Orlando-Kissimmee-Sanford, FL",36,36,1120010,1120010,0.10337652,0.10337652,3.214257015562e-05,0.276027893,Metropolitan Statistical Area,0.664076917,0.553352091,0.717806881,0.578199992
32820,9,"Memphis, TN-MS-AR",51,51,1068801,1068801,0.358563174,0.358563174,4.771702122284e-05,0.587693125,Metropolitan Statistical Area,0.597630898,0.427079017,0.592628574,0.409470521
27260,5,"Jacksonville, FL",16,16,1067907,1067907,0.800358537,0.800358537,1.498257807093e-05,0.893911174,Metropolitan Statistical Area,0.437800012,0.308604548,0.426527695,0.301983387
39580,3,"Raleigh-Cary, NC",27,27,1025563,1025563,0.251776244,0.251776244,2.632700282674e-05,0.457430699,Metropolitan Statistical Area,0.679006494,0.612455688,0.606032286,0.535490204
19430,3,"Dayton-Kettering-Beavercreek, OH",41,74,618583,1015805,0.085193923,0.044903438,6.628051530675e-05,0.135430521,Metropolitan Statistical Area,0.605624458,0.483308462,0.712628813,0.667647479
46520,1,"Urban Honolulu, HI",1,1,963826,963826,1,1,1.03753167065e-06,1,Metropolitan Statistical Area,NA,NA,NA,NA
10580,5,"Albany-Schenectady-Troy, NY",37,101,351111,963382,0.148853181,0.038569663,0.00010538,0.102365417,Metropolitan Statistical Area,0.634502592,0.417872492,0.708565959,0.472143484
14860,2,"Bridgeport-Stamford-Danbury, CT",5,25,464534,950073,0.261502254,0.082061752,1.076347479409e-05,0.156128003,Metropolitan Statistical Area,0.500050292,0.296638491,0.527538685,0.270575402
23420,2,"Fresno, CA",17,17,939322,939322,0.362582045,0.362582045,1.809816016232e-05,0.57968407,Metropolitan Statistical Area,0.684317091,0.584390482,0.62137035,0.552653161
10900,4,"Allentown-Bethlehem-Easton, PA-NJ",47,107,398446,865310,0.147966104,0.040539341,0.000117958,0.145547838,Metropolitan Statistical Area,0.5927184,0.467095799,0.585836207,0.465344452
49340,1,"Worcester, MA",5,60,330111,862029,0.42952463,0.073673549,1.514642044645e-05,0.238875954,Metropolitan Statistical Area,0.419273738,0.299358899,0.414569267,0.2722166
13820,7,"Birmingham, AL",88,88,839791,839791,0.080900662,0.080900662,0.000104788,0.23526687,Metropolitan Statistical Area,0.68394016,0.583798591,0.810188737,0.739896053
28880,2,"Kiryas Joel-Poughkeepsie-Newburgh, NY",33,74,250587,838613,0.078274004,0.026036753,0.000131691,0.054627105,Metropolitan Statistical Area,0.525899198,0.385830738,NA,NA
46140,7,"Tulsa, OK",73,73,807991,807991,0.287903739,0.287903739,9.034754099983e-05,0.509165325,Metropolitan Statistical Area,0.733367721,0.663205192,0.612029074,0.568160791
23060,3,"Fort Wayne, IN",17,55,327211,778446,0.666103037,0.15770145,5.195424359205e-05,0.341673025,Metropolitan Statistical Area,0.576357702,0.489630155,0.539108857,0.475089904
36540,7,"Omaha, NE-IA",78,107,740525,771565,0.449653416,0.414313271,0.000105331,0.63157349,Metropolitan Statistical Area,0.590189054,0.488607204,0.561650065,0.490828905
48620,4,"Wichita, KS",50,150,577787,770192,0.475214393,0.270261107,8.653708027352e-05,0.513766697,Metropolitan Statistical Area,0.789406831,0.666546934,0.831378311,0.721270784
21340,2,"El Paso, TX",8,8,755637,755637,0.809510869,0.809510869,1.058709406765e-05,0.897805428,Metropolitan Statistical Area,0.63448762,0.524480411,0.641523328,0.54065267
37100,1,"Oxnard-Thousand Oaks-Ventura, CA",10,10,746923,746923,0.165953964,0.165953964,1.338826090507e-05,0.270280872,Metropolitan Statistical Area,0.615484941,0.487019087,0.590191265,0.602695015
45060,3,"Syracuse, NY",38,94,263906,736468,0.318667032,0.060948815,0.000143991,0.198383365,Metropolitan Statistical Area,0.51249786,0.409490945,0.382385671,0.396407393
10740,4,"Albuquerque, NM",19,19,736192,736192,0.605839027,0.605839027,2.580848474311e-05,0.764201458,Metropolitan Statistical Area,0.626162449,0.538738527,0.590738833,0.549586313
12580,5,"Baltimore-Columbia-Towson, MD",20,20,722440,722440,0.642421643,0.642421643,2.768395991362e-05,0.797987376,Metropolitan Statistical Area,0.528251336,0.342443305,0.493380951,0.235860025
10420,2,"Akron, OH",31,58,543087,704259,0.150503107,0.092406185,5.708109382106e-05,0.268859894,Metropolitan Statistical Area,0.472026389,0.249886288,0.521470936,0.413954025
46060,1,"Tucson, AZ",5,5,685938,685938,0.641191162,0.641191162,7.28928853628e-06,0.791969537,Metropolitan Statistical Area,0.594895603,0.455319695,0.606817363,0.473450836
39340,2,"Provo-Orem-Lehi, UT",29,29,684176,684176,0.088124084,0.088124084,4.238675428544e-05,0.166746568,Metropolitan Statistical Area,0.585374071,0.461731032,0.588705284,0.490509565
31540,4,"Madison, WI",57,141,552619,680383,0.251476251,0.166598679,0.000103145,0.395653625,Metropolitan Statistical Area,0.548829376,0.394137667,0.569797379,0.42887092
45780,3,"Toledo, OH",42,84,447391,670018,0.37424651,0.176475154,9.387761488273e-05,0.400747443,Metropolitan Statistical Area,0.56250413,0.369725946,0.55577047,0.356248332
14260,5,"Boise City, ID",22,22,647188,647188,0.214433132,0.214433132,3.399321371842e-05,0.366888756,Metropolitan Statistical Area,0.610970971,0.529768499,0.593303428,0.454540828
37900,5,"Peoria, IL",58,133,284768,645608,0.182207559,0.065531354,0.000203675,0.172962541,Metropolitan Statistical Area,0.618910933,0.480280625,0.653985731,0.458652789
19780,6,"Des Moines-West Des Moines, IA",74,74,639676,639676,0.147412294,0.147412294,0.000115684,0.331466242,Metropolitan Statistical Area,0.549576224,0.4158381,0.422125737,0.341254584
32580,1,"McAllen-Edinburg-Mission, TX",22,22,625112,625112,0.127611528,0.127611528,3.519369329016e-05,0.230230743,Metropolitan Statistical Area,0.705408066,0.514719849,0.874240259,0.656507135
44700,1,"Stockton-Lodi, CA",7,7,624942,624942,0.322565848,0.322565848,1.120103945646e-05,0.515439833,Metropolitan Statistical Area,0.681156708,0.552853907,0.69257467,0.521698503
36260,3,"Ogden, UT",31,31,619425,619425,0.066370796,0.066370796,5.004641401299e-05,0.14012673,Metropolitan Statistical Area,0.621811047,0.413824749,0.639237475,0.423595276
12540,1,"Bakersfield-Delano, CA",11,11,608819,608819,0.463919305,0.463919305,1.806776726744e-05,0.669517541,Metropolitan Statistical Area,0.736873367,0.565178559,0.770652597,0.66703975
40420,2,"Rockford, IL",16,39,263035,599313,0.344027235,0.156027257,6.0828406866e-05,0.282525158,Metropolitan Statistical Area,0.653114777,0.561324144,NA,NA
25420,3,"Harrisburg-Carlisle, PA",37,103,162370,597460,0.129244349,0.035164942,0.000227875,0.090531584,Metropolitan Statistical Area,0.608788647,0.414604465,NA,NA
35300,1,"New Haven, CT",5,16,303282,570275,0.299243643,0.112636586,1.648630647384e-05,0.236869931,Metropolitan Statistical Area,0.493980394,0.353005991,0.570949386,0.495005246
42540,3,"Scranton--Wilkes-Barre, PA",64,139,361997,567750,0.075996349,0.034132474,0.000176797,0.133639806,Metropolitan Statistical Area,0.616139523,0.394376982,0.649557232,0.469607531
38860,3,"Portland-South Portland, ME",7,67,190039,556893,0.202749159,0.035910295,3.683454448823e-05,0.122668089,Metropolitan Statistical Area,0.677979912,0.456077856,0.737663355,0.387178014
30780,6,"Little Rock-North Little Rock-Conway, AR",46,46,555875,555875,0.175192483,0.175192483,8.275241736001e-05,0.363387452,Metropolitan Statistical Area,0.66555516,0.519118525,0.685679072,0.546211654
29540,1,"Lancaster, PA",19,60,158072,553676,0.164205956,0.034160604,0.000120198,0.103856768,Metropolitan Statistical Area,0.704775892,0.610099625,0.70565621,0.610857036
24660,3,"Greensboro-High Point, NC",25,25,551506,551506,0.341077335,0.341077335,4.53304225158e-05,0.540815512,Metropolitan Statistical Area,0.629213563,0.55018335,0.664557829,0.601286195
19660,2,"Deltona-Daytona Beach-Ormond Beach, FL",21,21,551236,551236,0.110570348,0.110570348,3.809620561792e-05,0.173758608,Metropolitan Statistical Area,0.631305502,0.517943955,0.531116053,0.482722698
17820,2,"Colorado Springs, CO",11,11,542983,542983,0.798114764,0.798114764,2.025846113045e-05,0.891291256,Metropolitan Statistical Area,0.577763868,0.527392049,0.535249607,0.494444466
16700,3,"Charleston-North Charleston, SC",27,27,536832,536832,0.176794006,0.176794006,5.029506437768e-05,0.282419826,Metropolitan Statistical Area,0.72726743,0.590407219,0.72710665,0.657135614
19340,4,"Davenport-Moline-Rock Island, IA-IL",55,112,328817,536215,0.145971958,0.066293165,0.000167266,0.188374066,Metropolitan Statistical Area,0.595446052,0.454594372,0.540428568,0.422903612
43780,2,"South Bend-Mishawaka, IN-MI",14,42,174536,492568,0.438145088,0.120526545,8.021267818673e-05,0.209824836,Metropolitan Statistical Area,0.645041696,0.536299072,0.662819146,0.543451546
