"cbsacode","num_counties","cbsatitle","num_munis","num_local","pop_muni","pop_total","hhi_pop_muni","hhi_pop_total","munis_pp","index_circ","index_rect","index_rect_central","index_circ_central"
"35620",18,"New York-Newark-Jersey City, NY-NJ",376,547,13587249,20686896,0.390423765590455,0.171810643132942,2.76730042998402e-05,0.613449109856033,0.46977153326849,0.671065803111076,0.481331605982184
"16980",11,"Chicago-Naperville-Elgin, IL-IN",342,544,8641884,15125853,0.101000103325145,0.0353376269314278,3.95747038492995e-05,0.640441243750644,0.482153195921642,0.46931465747154,0.339140016849811
"31080",2,"Los Angeles-Long Beach-Anaheim, CA",122,122,11866079,11866079,0.113355922473805,0.113355922473805,1.02814080371452e-05,0.609102599533106,0.465888058304834,0.520121652732537,0.35712306518517
"19100",11,"Dallas-Fort Worth-Arlington, TX",201,201,7084182,7084182,0.0638092248994258,0.0638092248994258,2.83730711605094e-05,0.625695957381587,0.511751275284544,0.484975008271234,0.377947291167072
"37980",10,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",163,373,2628113,5729305,0.362784601834999,0.0790554826508135,6.20216862821348e-05,0.618379684468629,0.477822819102711,0.556923725595707,0.412387536058725
"14460",6,"Boston-Cambridge-Newton, MA-NH",36,196,2580119,4898150,0.0846600455552185,0.0257299947341784,1.39528448106463e-05,0.51656616336085,0.342091162332389,0.560077559850513,0.439289948424921
"19820",6,"Detroit-Warren-Dearborn, MI",109,207,2853011,4431299,0.0654460386140196,0.0306115381948626,3.82052505230439e-05,0.494943245090205,0.241968898295707,0.718796822816148,0.494238366142381
"38060",2,"Phoenix-Mesa-Chandler, AZ",33,33,4406705,4406705,0.170575849825164,0.170575849825164,7.4885884124306e-06,0.686156579885252,0.522617847345434,0.511034080668581,0.365253554233221
"33100",3,"Miami-Fort Lauderdale-West Palm Beach, FL",104,104,4252054,4252054,0.0300793542106888,0.0300793542106888,2.44587674568573e-05,0.630896909782024,0.396358291218001,0.536105416606206,0.398437566999586
"41860",5,"San Francisco-Oakland-Fremont, CA",65,65,4169262,4169262,0.0636911369264011,0.0636911369264011,1.55902891207125e-05,0.604869853713768,0.476891165208464,0.659589050340805,0.376611156912963
"40140",2,"Riverside-San Bernardino-Ontario, CA",52,52,3950885,3950885,0.0330747800133019,0.0330747800133019,1.31616080954014e-05,0.605686168283191,0.463920165556804,0.535752846444642,0.460424221852623
"26420",10,"Houston-Pasadena-The Woodlands, TX",128,128,3886417,3886417,0.353535487602437,0.353535487602437,3.29352202813028e-05,NA,NA,0.399338430215914,0.292414887631605
"26900",11,"Indianapolis-Carmel-Greenwood, IN",87,196,1782606,3849358,0.2589063005535,0.0664541657386337,4.88049518513906e-05,0.616838183703096,0.438461670505614,0.736323365113112,0.428952706189777
"33460",15,"Minneapolis-St. Paul-Bloomington, MN-WI",212,371,3400027,3682342,0.0328204540378644,0.0280487296521198,6.23524460246933e-05,0.490675713894476,0.223791539949068,0.759918629410044,0.470140027312021
"42660",3,"Seattle-Tacoma-Bellevue, WA",78,78,2967053,2967053,0.0821443324475549,0.0821443324475549,2.62887113914042e-05,0.561432424443269,0.432606126710394,0.671133074575463,0.580846551763003
"41740",1,"San Diego-Chula Vista-Carlsbad, CA",18,18,2773433,2773433,0.273015917772635,0.273015917772635,6.49015137556956e-06,0.614720110684946,0.486525585960244,0.58494946444318,0.440087494746343
"18140",10,"Columbus, OH",99,256,1630868,2561437,0.316883839960048,0.131307568195251,6.07038705768952e-05,0.585561520424168,0.508675070407298,0.431935009517801,0.426346648499947
"41180",15,"St. Louis, MO-IL",270,375,1951509,2530443,0.0344323583830141,0.0221560603735542,0.00013835447338444,0.6286750406448,0.468934357387632,0.555984171420644,0.277275850250373
"12060",29,"Atlanta-Sandy Springs-Roswell, GA",146,146,2524536,2524536,0.0527624871795952,0.0527624871795952,5.78324095992293e-05,0.620847308206632,0.5053723829602,0.508182991341423,0.381321089431144
"38300",8,"Pittsburgh, PA",265,483,1170175,2439023,0.0725127255673738,0.019927842776971,0.00022646185399619,0.561608138940089,0.456818530304808,0.542249339736565,0.465565851614286
"19740",10,"Denver-Aurora-Centennial, CO",45,45,2326229,2326229,0.142355597854248,0.142355597854248,1.93446131055885e-05,0.703146523765132,0.572085481946767,0.411264946488409,0.262318659703187
"17140",14,"Cincinnati, OH-KY-IN",139,236,1210734,2254633,0.0785104827769001,0.0289874671976615,0.00011480639017323,0.629848865545551,0.507337281220008,0.383483167085316,0.290168423171255
"17410",6,"Cleveland, OH",114,199,1816027,2230330,0.0545291724097368,0.0369014367959857,6.27743970766955e-05,0.521625481053212,0.316958851148628,0.36031554268311,0.325939694380864
"28140",13,"Kansas City, MO-KS",163,239,2008014,2106407,0.0964055259407623,0.0876867710185445,8.11747328454881e-05,0.656343090666913,0.467503284012921,0.486299218924194,0.262592638838521
"41700",8,"San Antonio-New Braunfels, TX",54,54,1907709,1907709,0.583752035325286,0.583752035325286,2.83062039336188e-05,0.619642385238719,0.541283445834912,0.423029961213912,0.367971032961832
"16740",11,"Charlotte-Concord-Gastonia, NC-SC",79,79,1875957,1875957,0.232629174135218,0.232629174135218,4.21118394504778e-05,0.593217690995068,0.528416000231794,0.431311553870181,0.382077969705046
"41940",2,"San Jose-Sunnyvale-Santa Clara, CA",17,17,1845560,1845560,0.305192573039469,0.305192573039469,9.21129630030993e-06,0.682491358326314,0.55081177176496,0.545650155158551,0.364480286180264
"38900",7,"Portland-Vancouver-Hillsboro, OR-WA",58,58,1775481,1775481,0.157847628040136,0.157847628040136,3.26672039858495e-05,0.573865989356609,0.468317841318913,0.538105364696564,0.429295242556789
"12420",5,"Austin-Round Rock-San Marcos, TX",49,49,1708042,1708042,0.334616263749576,0.334616263749576,2.86878191519881e-05,0.621890561652004,0.568723971935233,0.449543646233349,0.371452281975333
"47900",20,"Washington-Arlington-Alexandria, DC-VA-MD-WV",94,94,1688516,1688516,0.176842904248076,0.176842904248076,5.56701861279372e-05,0.543920396343946,0.405746723181466,0.725668777015306,0.482397548734958
"39300",5,"Providence-Warwick, RI-MA",13,59,900182,1675774,0.106438787021844,0.0367492860986267,1.44415240473593e-05,0.59492655369817,0.424054608309575,0.687206267117543,0.612727383430257
"34980",14,"Nashville-Davidson--Murfreesboro--Franklin, TN",55,55,1588585,1588585,0.218205774181412,0.218205774181412,3.46220063767441e-05,0.638135386347621,0.531932135256261,0.464795140592796,0.389128390623958
"33340",4,"Milwaukee-Waukesha, WI",63,90,1446632,1566724,0.167646594037997,0.143222627630265,4.35494306776015e-05,0.541153116363651,0.31496246254895,0.502553548975849,0.383561178990648
"47260",12,"Virginia Beach-Chesapeake-Norfolk, VA-NC",15,15,1501107,1501107,0.177615013113027,0.177615013113027,9.99262544242349e-06,0.493354645886557,0.327088412551413,0.745552229887797,0.605323263086566
"40900",4,"Sacramento-Roseville-Folsom, CA",19,19,1499047,1499047,0.16554700994629,0.16554700994629,1.2674719338353e-05,0.61508058614393,0.448840611462033,0.561894457053218,0.393969974122262
"31140",12,"Louisville/Jefferson County, KY-IN",138,179,1191004,1462059,0.431970913726883,0.290287915067975,0.00011586862848487,0.623174241052543,0.488924233906083,NA,NA
"36420",7,"Oklahoma City, OK",77,77,1308343,1308343,0.297621737107599,0.297621737107599,5.88530683467562e-05,0.581358209584569,0.417205813843907,0.585330763024369,0.423678058048485
"29820",1,"Las Vegas-Henderson-North Las Vegas, NV",5,5,1279138,1279138,0.365454161704831,0.365454161704831,3.90888238798316e-06,0.677389781782643,0.542176813022877,0.422479904635143,0.287981063024514
"15380",2,"Buffalo-Cheektowaga, NY",26,63,503227,1251108,0.322754545925893,0.0793341628334436,5.16665441242223e-05,0.516282073736868,0.298976824888292,0.833474652160845,0.555064577112948
"41620",2,"Salt Lake City-Murray, UT",30,30,1234990,1234990,0.0753896678295048,0.0753896678295048,2.42916946695925e-05,0.619079062292553,0.420092782309921,0.585972140471102,0.43729131162703
"45300",4,"Tampa-St. Petersburg-Clearwater, FL",35,35,1194072,1194072,0.172515805079428,0.172515805079428,2.93114653052747e-05,0.714886556502634,0.565790704566418,0.519596291308207,0.357342508704319
"24340",5,"Grand Rapids-Wyoming-Kentwood, MI",44,134,530853,1191227,0.179852821070535,0.0442852316444724,8.28854692353627e-05,0.574082975582705,0.43528851575498,0.53896437783543,0.438181342899103
"40380",5,"Rochester, NY",40,117,347215,1167742,0.374522725716374,0.0528855308164379,0.00011520239620984,0.629804332084205,0.544510705292125,0.411681724764691,0.348190469594136
"25540",2,"Hartford-West Hartford-East Hartford, CT",4,56,241569,1148947,0.380601649178373,0.0367365843499295,1.65584160219233e-05,0.553331783665238,0.330221834493262,0.83266592027094,0.577663338902631
"36740",4,"Orlando-Kissimmee-Sanford, FL",36,36,1120010,1120010,0.10337651972068,0.10337651972068,3.21425701556236e-05,0.664076916877813,0.55335209145981,0.424223913167784,0.319269148728433
"32820",9,"Memphis, TN-MS-AR",51,51,1068801,1068801,0.358563174109654,0.358563174109654,4.77170212228469e-05,0.597630896185289,0.427079041634052,0.590529479132451,0.407371426061421
"27260",5,"Jacksonville, FL",16,16,1067907,1067907,0.800358536868706,0.800358536868706,1.49825780709369e-05,0.437800006441476,0.308604540804356,0.698016613017947,0.573472304608136
"39580",3,"Raleigh-Cary, NC",27,27,1025563,1025563,0.251776244349145,0.251776244349145,2.632700282674e-05,0.679006493365606,0.612455687600157,0.401714519053817,0.319430594709256
"19430",3,"Dayton-Kettering-Beavercreek, OH",41,74,618583,1015805,0.0851939230890747,0.0449034383040063,6.62805153067575e-05,0.605624458234012,0.48330846242108,0.553955551660536,0.445482365096289
"46520",1,"Urban Honolulu, HI",1,1,963826,963826,1,1,1.03753167065425e-06,NA,NA,0.671512572392322,0.683037264317711
"10580",5,"Albany-Schenectady-Troy, NY",37,101,351111,963382,0.148853180667657,0.0385696628317164,0.00010537978018347,0.634502592413156,0.417872491932407,0.53906245421271,0.322050197743901
"14860",2,"Bridgeport-Stamford-Danbury, CT",5,25,464534,950073,0.261502253985658,0.0820617521292771,1.07634747940947e-05,0.500050341170636,0.296638502277089,0.70977765923204,0.484398642645663
"23420",2,"Fresno, CA",17,17,939322,939322,0.362582045102767,0.362582045102767,1.80981601623299e-05,0.68431709078173,0.584390481868676,0.44734683904943,0.378629650065432
"10900",4,"Allentown-Bethlehem-Easton, PA-NJ",47,107,398446,865310,0.147966103563999,0.0405393409063334,0.00011795826787067,0.592718420148883,0.467095765025062,0.448548400836341,0.332081665833345
"49340",1,"Worcester, MA",5,60,330111,862029,0.429524629756208,0.0736735489396156,1.51464204464559e-05,0.419273739800245,0.299358890337292,0.727783399519588,0.585430732552779
"13820",7,"Birmingham, AL",88,88,839791,839791,0.0809006622614958,0.0809006622614958,0.00010478797700856,0.683940159771944,0.583798591201115,0.260103947495967,0.189811262612763
"28880",2,"Kiryas Joel-Poughkeepsie-Newburgh, NY",33,74,250587,838613,0.0782740042552912,0.0260367533382365,0.00013169079002502,0.525899197258651,0.385830736171344,0.691086274989544,0.471309581002713
"46140",7,"Tulsa, OK",73,73,807991,807991,0.287903739185592,0.287903739185592,9.03475409998379e-05,0.733367721172559,0.663205192234897,0.431839209217355,0.3879709261314
"23060",3,"Fort Wayne, IN",17,55,327211,778446,0.666103036715747,0.157701449708559,5.19542435920553e-05,0.576357701895334,0.489630155270023,0.524910095985766,0.460891142795409
"36540",7,"Omaha, NE-IA",78,107,740525,771565,0.449653416290758,0.414313271477466,0.00010533067755983,0.590189054051632,0.488607198500179,0.509171095327275,0.438349935053431
"48620",4,"Wichita, KS",50,150,577787,770192,0.475214393148413,0.27026110663364,8.65370802735264e-05,0.789406830336139,0.666546933402651,0.278729215597808,0.168621689292603
"21340",2,"El Paso, TX",8,8,755637,755637,0.809510869338526,0.809510869338526,1.05870940676542e-05,0.634487572867145,0.524480430100431,0.459347330250215,0.358476672256715
"37100",1,"Oxnard-Thousand Oaks-Ventura, CA",10,10,746923,746923,0.165953963762488,0.165953963762488,1.33882609050732e-05,0.615484934911832,0.48701908023676,0.460042459758621,0.406984916186823
"45060",3,"Syracuse, NY",38,94,263906,736468,0.318667031944266,0.0609488148112937,0.00014399066334225,0.512497893127232,0.409490955139746,0.603592607247288,0.617614328685259
"10740",4,"Albuquerque, NM",19,19,736192,736192,0.605839026921383,0.605839026921383,2.58084847431105e-05,0.62616244864202,0.538738526606706,0.450413686725918,0.409261166805265
"12580",5,"Baltimore-Columbia-Towson, MD",20,20,722440,722440,0.642421642671331,0.642421642671331,2.7683959913626e-05,0.528251351965208,0.34244331314966,0.735841094868772,0.54507065987139
"10420",2,"Akron, OH",31,58,543087,704259,0.150503106740436,0.0924061851593699,5.70810938210637e-05,0.472026388813918,0.24988628773462,0.586045974905011,0.478529064317469
