r,obs,mmean,lo,hi,cbsa,gamma
0,5.201632947134836e-6,2.922611207592811e-6,2.8213663641744475e-6,3.0337462638716325e-6,31080,2.1678866832632037e-6
250,3.0929386059117715e-6,1.8191460780482984e-6,1.7459738565510844e-6,1.9017998577756534e-6,31080,1.191138748136118e-6
500,3.716924136084163e-6,2.6648308149436905e-6,2.581020937956412e-6,2.7694037417616364e-6,31080,9.475203943225268e-7
1000,4.711625020127107e-6,3.734959726209202e-6,3.613934981395801e-6,3.872319918465039e-6,31080,8.393051016620684e-7
0,6.254049394727547e-6,3.947278424048797e-6,3.7942231699801888e-6,4.135242499268456e-6,35620,2.118806895459091e-6
250,8.227963132068376e-6,4.949790948727899e-6,4.682383381970682e-6,5.3262919498304375e-6,35620,2.9016711822379387e-6
500,1.2227963872273688e-5,7.384012234466576e-6,6.960925633503547e-6,7.817234718605658e-6,35620,4.4107291536680305e-6
1000,1.5391101297571143e-5,9.630880994677239e-6,9.119350099279342e-6,1.0069299074761477e-5,35620,5.321802222809666e-6
0,1.0027595778351045e-5,4.011721707885369e-6,3.816042676381273e-6,4.168843896887435e-6,16980,5.85875188146361e-6
250,1.1071445695065342e-5,3.130876015255593e-6,2.862096374773051e-6,3.480168937197843e-6,16980,7.591276757867499e-6
500,1.7459340593980116e-5,4.9319681875681154e-6,4.453826047600803e-6,5.499698039017949e-6,16980,1.1959642554962168e-5
1000,1.971125299147155e-5,6.136095388065938e-6,5.669831350188221e-6,6.7202527409131734e-6,16980,1.2991000250558378e-5
0,7.830205468332169e-6,6.78318290583443e-6,6.381882462239618e-6,7.234009999680925e-6,33100,5.961954686512442e-7
250,3.195599772651497e-6,2.1001601855463457e-6,1.867498773228035e-6,2.35885279344826e-6,33100,8.367469792032369e-7
500,4.775246643302442e-6,3.5339368010086187e-6,3.1873871462902074e-6,3.7662949820919777e-6,33100,1.0089516612104643e-6
1000,5.245861955299133e-6,4.027794878135919e-6,3.734882739480612e-6,4.320645327582482e-6,33100,9.252166277166512e-7
0,9.929629443068745e-6,4.957400406759331e-6,4.663423521095247e-6,5.255046949855526e-6,19100,4.674582493213219e-6
250,4.20216679231031e-6,1.9203772705944954e-6,1.8270584191656065e-6,2.0141018377870716e-6,19100,2.188064954523238e-6
500,5.454038057965847e-6,2.5456068473363722e-6,2.4094859628528547e-6,2.69288689745485e-6,19100,2.7611511605109974e-6
1000,7.192858141616146e-6,3.6908201646161264e-6,3.47935238608296e-6,3.869521377499217e-6,19100,3.3233367641169286e-6
0,1.231257501290203e-5,6.1771787889001026e-6,5.757612327680718e-6,6.569922079538499e-6,26420,5.74265293336353e-6
250,2.5223155957625646e-6,9.733856499399084e-7,8.245439811611669e-7,1.1201740494784176e-6,26420,1.402141546284147e-6
500,4.735377883921309e-6,2.2147420374957155e-6,2.023804333100244e-6,2.4524547930848054e-6,26420,2.282923090836504e-6
1000,6.593195747595983e-6,2.866098643896864e-6,2.665263003870913e-6,3.05046971547761e-6,26420,3.5427260321183732e-6
0,1.5871408515168454e-5,7.903497998855226e-6,7.44413879688679e-6,8.480603173769732e-6,37980,7.390805341398722e-6
250,7.455569787800363e-6,2.4927227608211614e-6,2.059245573429832e-6,2.8316614866084256e-6,37980,4.623908301191938e-6
500,6.682705343861849e-6,3.203459283716547e-6,2.9215114752168135e-6,3.5218728979407533e-6,37980,3.160832445921096e-6
1000,5.693801358119274e-6,3.4957844662954805e-6,3.235018780997979e-6,3.8348281455156856e-6,37980,1.8589732126035882e-6
0,2.1208985385876903e-5,1.1894282896289014e-5,1.1308195347306737e-5,1.2455516448370484e-5,14460,8.75346893750642e-6
250,1.660659509352059e-5,6.525702213843868e-6,5.89604388832855e-6,7.176136325980119e-6,14460,9.430458767540471e-6
500,2.2703745603633873e-5,9.264854499459297e-6,8.333500126085798e-6,9.974336255900634e-6,14460,1.2729409347733239e-5
1000,1.8146892520042934e-5,8.586988878263668e-6,7.8837963560985e-6,9.150357889178629e-6,14460,8.996534630864305e-6
0,1.6577618318019402e-5,1.008729584497273e-5,9.598681319290384e-6,1.0537010933039131e-5,12060,6.040607384980271e-6
250,2.0626088041155905e-6,1.1312605683001815e-6,1.0007733582831262e-6,1.231699141149932e-6,12060,8.309096629656585e-7
500,4.268570260097758e-6,2.53075109276118e-6,2.3497808154379773e-6,2.72691842425782e-6,12060,1.541651835839938e-6
1000,6.8055726075631574e-6,4.071763127839493e-6,3.7973056188075734e-6,4.378379203206108e-6,12060,2.4271934043570494e-6
0,2.156363611934231e-5,1.1680361659147976e-5,1.0478183510125312e-5,1.3445539006096852e-5,19820,8.118097113245459e-6
250,3.3322740518953624e-6,1.5789599291742642e-6,1.332764534507517e-6,1.762322740491455e-6,19820,1.5699513114039073e-6
500,5.637796823943504e-6,2.852274860739668e-6,2.4509631626882464e-6,3.2660862205961858e-6,19820,2.371710603347318e-6
1000,6.3476437500850265e-6,4.343817534034949e-6,3.710079294101955e-6,4.791899237811517e-6,19820,1.5557445122735094e-6
0,1.5350603178548203e-5,8.375897593609526e-6,7.75162854664265e-6,9.092035719770448e-6,33460,6.258567458777755e-6
250,4.409790886254146e-6,1.8016896849749992e-6,1.5742260122274328e-6,2.1143037651247788e-6,33460,2.2954871211293674e-6
500,7.993068158265283e-6,3.4656486518655223e-6,3.1284180624953547e-6,4.000218696868259e-6,33460,3.992849461397024e-6
1000,6.85744493838677e-6,4.093440863379977e-6,3.7785758608387534e-6,4.467238868460743e-6,33460,2.3902060699260267e-6
0,1.6870435860474523e-5,1.1664545872248655e-5,1.1345824635232797e-5,1.2005189134143202e-5,41860,4.865246726331321e-6
250,2.3804373942647556e-5,1.4671662486415412e-5,1.4104643505208485e-5,1.5210659857310309e-5,41860,8.593714085337247e-6
500,3.509194040680886e-5,2.201785306242096e-5,2.1278440153053272e-5,2.275662148114513e-5,41860,1.2335318925663734e-5
1000,3.7711477079045586e-5,2.463622419533847e-5,2.374284711228295e-5,2.5414543141841423e-5,41860,1.2296933937204163e-5
0,2.6266834150075235e-5,1.5570306015308605e-5,1.4601734593658809e-5,1.6497680800947485e-5,42660,9.76915334912775e-6
250,1.8815018195596206e-5,7.11177333244472e-6,6.2661111077733315e-6,8.104515384553442e-6,42660,1.0710502811042764e-5
500,2.1895380299787246e-5,9.244343071073764e-6,8.374427106377863e-6,1.0127299037619768e-5,42660,1.1768081262167478e-5
1000,2.0159179662400626e-5,1.0402809908419579e-5,9.428099891297186e-6,1.1484443372057151e-5,42660,8.674736290343476e-6
0,1.4282671599747142e-5,1.327142018040656e-5,1.1747667197272217e-5,1.4988963745426164e-5,38060,0
250,3.4700560653728963e-6,2.266882837724681e-6,1.9951545173710145e-6,2.5321819006503426e-6,38060,9.378741647225537e-7
500,5.047417532114154e-6,3.91726756787194e-6,3.5738228392260616e-6,4.323324959042151e-6,38060,7.240925730720025e-7
1000,5.5239511666222965e-6,5.861151168401891e-6,5.372703761486811e-6,6.369928513327758e-6,38060,0
0,1.272338917127935e-5,1.1783319443325242e-5,1.0329507776155113e-5,1.3755892727897124e-5,40140,0
250,3.7292188793187523e-6,2.8147564164439617e-6,2.2692176652417303e-6,3.365655834234788e-6,40140,3.6356304508396414e-7
500,5.034696617910649e-6,4.933856751425051e-6,4.095353051217189e-6,6.157150203699182e-6,40140,0
1000,7.192311846554582e-6,8.434468704752247e-6,7.02333537854621e-6,9.943402098752333e-6,40140,0
0,3.4235075639709624e-5,2.35197686081944e-5,2.2239298021419813e-5,2.473901653183838e-5,41740,9.496059107871245e-6
250,5.446593471820865e-6,3.336822158679591e-6,3.0566982812656587e-6,3.6756348491847355e-6,41740,1.7709586226361295e-6
500,9.463777513209226e-6,7.320393571040001e-6,6.714194496242359e-6,7.876595638229825e-6,41740,1.5871818749794004e-6
1000,1.2742887884407687e-5,1.018349169521878e-5,9.357941944266224e-6,1.0888065970399297e-5,41740,1.85482191400839e-6
0,1.8157545591967522e-5,1.3941533011100347e-5,1.2758593183655184e-5,1.5179426776736396e-5,38900,2.978118815231126e-6
250,1.8284819325087972e-5,5.627896889950426e-6,4.800284087641095e-6,6.687273498885285e-6,38900,1.1597545826202688e-5
500,2.5810736889549744e-5,8.46923537066104e-6,7.367179226640127e-6,9.824261914246054e-6,38900,1.598647497530369e-5
1000,2.383784999258801e-5,1.1234924136589691e-5,9.837583644622413e-6,1.3233703658407219e-5,38900,1.060414633418079e-5
0,9.76018985538651e-6,8.125873305796444e-6,8.00995396197069e-6,8.26762838725148e-6,47900,1.49256146813503e-6
250,4.549462686514633e-6,3.846439123314622e-6,3.7669137214507312e-6,3.926766486715914e-6,47900,6.226961997987193e-7
500,5.74115353630603e-6,4.803575385200178e-6,4.702919553800155e-6,4.896418700622459e-6,47900,8.447348356835708e-7
1000,6.936325641752547e-6,5.787494781623115e-6,5.678961809486755e-6,5.892559592666561e-6,47900,1.0437660490859866e-6
0,1.5754596854363142e-5,1.1403940622739125e-5,1.07890638333133e-5,1.2087779152488762e-5,19740,3.66681770187438e-6
250,8.212180246894721e-6,4.478360988675524e-6,3.9864589794472015e-6,4.909516979540492e-6,19740,3.3026632673542296e-6
500,1.2215569385563145e-5,7.1793073658368325e-6,6.65774873239069e-6,7.7325148209375e-6,19740,4.483054564625646e-6
1000,1.5899158299390856e-5,1.0241133260696398e-5,9.54518729597462e-6,1.1002338965044429e-5,19740,4.8968193343464275e-6
0,3.2154998255046324e-5,1.1382579739915564e-5,1.0081059093242963e-5,1.3025722180777175e-5,16740,1.912927607426915e-5
250,5.892577233802899e-6,2.121259693192902e-6,1.7509798098190535e-6,2.5684328979984334e-6,16740,3.324144335804466e-6
500,1.1089441102977642e-5,3.0714580874877112e-6,2.569224624537436e-6,3.714179515647233e-6,16740,7.37526158733041e-6
1000,1.3957842290143213e-5,4.443558993442844e-6,3.5719456967678534e-6,5.296915397243594e-6,16740,8.66092689289962e-6
0,1.7458781307279377e-5,1.11978231791961e-5,1.0016884152481006e-5,1.218651871502909e-5,45300,5.2722625922502865e-6
250,4.78689414375108e-6,2.467057909021047e-6,2.1011319566427082e-6,2.9352871992819857e-6,45300,1.851606944469094e-6
500,7.000720596836183e-6,4.2210824728863e-6,3.774501700449829e-6,4.743451488673969e-6,45300,2.257269108162214e-6
1000,7.134237347224057e-6,5.808830661451346e-6,5.069917448391101e-6,6.406489188802932e-6,45300,7.277481584211247e-7
0,2.37750898452743e-5,1.2108948489703221e-5,1.0765820789156962e-5,1.353364923010964e-5,41180,1.0241440615164658e-5
250,8.890453375174481e-6,2.878870509843189e-6,2.5001629856698753e-6,3.4573213732426765e-6,41180,5.433132001931804e-6
500,1.2227379648838718e-5,4.703151041545014e-6,4.107929035116081e-6,5.615629056452695e-6,41180,6.611750592386024e-6
1000,1.0434620671854385e-5,6.002850936397242e-6,5.198010181393946e-6,7.062591839069827e-6,41180,3.372028832784558e-6
0,2.9268557635239557e-5,1.1500341543308945e-5,9.989179188392565e-6,1.3176527252744208e-5,38300,1.609203038249535e-5
250,1.42483450978281e-5,3.5329019855548676e-6,2.9706344816604032e-6,4.22009414645175e-6,38300,1.002825095137635e-5
500,1.9617571139650296e-5,4.954133567613722e-6,3.672830142566862e-6,6.313579869352083e-6,38300,1.3303991270298212e-5
1000,1.9730637480681658e-5,5.562657751494011e-6,4.373368532218174e-6,6.853426843581185e-6,38300,1.2877210637100473e-5
0,2.8439603691253345e-5,1.4669075331699554e-5,1.1025880423509146e-5,1.775472749362947e-5,33340,1.0684876197623877e-5
250,1.4020489222338479e-5,4.595932268933106e-6,3.7368062762020113e-6,5.55342380297215e-6,33340,8.467065419366329e-6
500,1.82326594792779e-5,6.795708092159622e-6,5.305928512838408e-6,8.204232444506603e-6,33340,1.0028427034771296e-5
1000,1.5767499257424773e-5,8.199361770948055e-6,6.5725299886718285e-6,9.679768245514423e-6,33340,6.08773101191035e-6
0,6.458642809844566e-5,2.3102713039908405e-5,2.0582901164720524e-5,2.600401406574578e-5,34980,3.858241403269988e-5
250,1.5038290549331773e-5,4.957778962962772e-6,4.140510749846061e-6,6.1181761435773e-6,34980,8.920114405754473e-6
500,1.7882950876406103e-5,5.837770112879451e-6,4.371183835194596e-6,7.486562858964957e-6,34980,1.0396388017441145e-5
1000,2.2623680079842888e-5,9.427522787077744e-6,7.679931980233022e-6,1.0900688099241952e-5,34980,1.1722991980600936e-5
0,3.219578784501034e-5,2.3574334344594452e-5,2.242591437053898e-5,2.4548363616922148e-5,41940,7.647424228088191e-6
250,1.0916079171361368e-5,7.384155392824232e-6,6.957627229793321e-6,7.768651948096202e-6,41940,3.147427223265166e-6
500,2.0310718584768397e-5,1.4339694723409782e-5,1.361642932819615e-5,1.5030718601438374e-5,41940,5.2799999833300226e-6
1000,1.9070281163693153e-5,1.7716385882284257e-5,1.688603743154372e-5,1.8736437508826742e-5,41940,3.338436548664108e-7
0,2.9843870581101938e-5,1.633700194779601e-5,1.4006771820905943e-5,1.935688405525619e-5,17140,1.0486986525845746e-5
250,9.979832347959418e-6,3.401327007878086e-6,2.8218201430937955e-6,4.5797326947111856e-6,17140,5.400099653248233e-6
500,1.4207833714201435e-5,4.765931376710182e-6,3.7705123290908086e-6,6.327380034354664e-6,17140,7.880453679846772e-6
1000,1.4789247355403436e-5,7.260191434167865e-6,6.166570778840945e-6,8.399957055344404e-6,17140,6.389290300059032e-6
0,3.475948702809977e-5,1.7603694153942606e-5,1.5818386843661647e-5,1.9313976782484875e-5,36740,1.5445510245614896e-5
250,5.942704870952128e-6,2.873640082302824e-6,2.409741294014604e-6,3.441183112427891e-6,36740,2.5015217585242368e-6
500,7.590802153535646e-6,4.5671912672943286e-06,4.050705599422859e-6,5.103111708079213e-6,36740,2.487690445456433e-6
1000,8.978166928444537e-6,6.633137262968661e-6,5.9046260279320495e-6,7.392043098992942e-6,36740,1.5861238294515946e-6
0,2.4963607070863913e-5,1.3848117009213935e-5,1.1118092321869824e-5,1.7813534759511555e-5,39300,7.1500723113523585e-6
250,1.5863956122114133e-5,5.940212385809542e-6,4.811968092111634e-6,7.299488293024742e-6,39300,8.564467829089392e-6
500,1.623553425361313e-5,5.725933275335751e-6,4.535836677575929e-6,7.149320859271695e-6,39300,9.086213394341435e-6
1000,1.5799913014787057e-5,7.412545080024399e-6,5.641786778776413e-6,9.444802673492495e-6,39300,6.355110341294562e-6
0,2.824066669134053e-5,2.141823374711238e-5,1.9962007092570732e-5,2.286016150720042e-5,12420,5.380505184140108e-6
250,1.4021123104655969e-5,7.477657561666295e-6,6.489334343363483e-6,8.339945346492763e-6,12420,5.681177758163205e-6
500,1.5449191937450434e-5,9.609939399682809e-6,8.774487648146702e-6,1.066088513515939e-5,12420,4.788306802291045e-6
1000,1.6045339066528055e-5,1.197368965071143e-5,1.108466035691191e-5,1.3318577190436996e-5,12420,2.7267618760910587e-6
0,3.0037688166883152e-5,1.8572648707928494e-5,1.7406884582174202e-5,1.9567827476906725e-5,12580,1.0469860689976427e-5
250,2.867183187245009e-6,2.1969068977521246e-6,1.9842995576854125e-6,2.454843577817345e-6,12580,4.123396094276638e-7
500,7.2513950514020955e-6,4.835169297961395e-6,4.493941814669261e-6,5.281771439185999e-6,12580,1.969623612216096e-6
1000,7.300122965190695e-6,5.56040450275679e-6,5.037779194406987e-6,6.031102846842965e-6,12580,1.2690201183477303e-6
0,2.3999224725410205e-5,1.4012276965575975e-5,1.1989259670874967e-5,1.6154996370371576e-5,26900,7.844228355038629e-6
250,1.437869300442357e-5,4.320843903844374e-6,3.2681224587770706e-6,5.298563158270036e-6,26900,9.080129846153535e-6
500,1.6085066202894277e-5,5.821687096751045e-6,4.585734330684572e-6,7.162188321550607e-6,26900,8.92287788134367e-6
1000,1.669883325545934e-5,6.931927839181505e-6,5.870605414046427e-6,8.059257442556834e-6,26900,8.639575812902506e-6
0,1.907407019930849e-5,1.8774714294326802e-5,1.6711310506622445e-5,2.1281913865057604e-5,29820,0
250,5.16046341333818e-6,3.5379550645920658e-6,3.069616216038141e-6,4.0961585501005865e-6,29820,1.0643048632375933e-6
500,7.493899697682263e-6,8.207385047853204e-6,7.219582791510986e-6,9.25613622544762e-6,29820,0
1000,1.2072197772530277e-5,1.3117939535424055e-5,1.1683503662230398e-5,1.453081930012807e-5,29820,0
