"GEOID","share_bach_or_higher","num_unis","creative","tech"
"10100",0.311656744284356,2,34,6
"10140",0.160952912711707,1,23.504504505,0
"10180",0.243872020834671,3,59.619600007,26.966274091
"10220",0.288162181730421,2,8.990082648,5.993388432
"10300",0.210591636491064,2,22.25978391,0.72874494
"10380",0.210852531867618,4,0,0
"10420",0.321277455426273,7,218.892989569,265.478407501
"10460",0.188745233421332,1,9,7.861702129
"10500",0.206860223716419,2,35,14.97
"10540",0.195116447012096,1,33.861603776,13.778589218
"10580",0.386238673065105,22,362.564529926,586.02327385
"10620",0.176322013271796,2,12.1985816,3
"10660",0.170375808745928,0,7.1533386,0.01327434
"10700",0.20674108392152,1,19.804165786,7.748823128
"10740",0.330053124209461,4,271.100178896,412
"10760",0.171934840066886,1,10.977831182,2.980188678
"10780",0.198726437139741,3,29.994001714,8.997429306
"10820",0.271617685017884,1,28.0460125,6.0276075
"10860",0.146526366861752,0,5,0
"10900",0.306294746407949,14,277.14712061,218.450258193
"10940",0.16520845878644,1,7,0.00504201
"10980",0.179527186761229,1,12,0
"11020",0.222680646075375,2,40.952930366,22
"11060",0.22245153220763,2,6,3
"11100",0.239847368267746,2,86.005279036,38
"11140",0.187432867883996,2,5,0
"11180",0.449055152870142,1,50.056330468,71.01694916
"11220",0.186558652355745,1,14.874399025,4.495733125
"11260",0.326688151947978,3,217,151
"11380",0.149305555555556,0,0,0
"11420",0.224582637729549,2,16,3
"11460",0.567220609077396,4,159.69184186,395.557804408
"11500",0.18855977813517,1,11.78217822,6
"11540",0.299921347131648,2,102.209718463,56.032724968
"11580",0.12155309619869,0,0,3.997060264
"11620",0.190233198959024,1,23,4
"11640",0.236495419408023,4,0,0
"11660",0.251726254411539,2,2.963585433,0
"11700",0.365047209695603,6,240.92639094,180.973574398
"11740",0.219874453536599,2,14.624548842,0
"11780",0.149303222413743,0,27.008168296,5
"11820",0.239696237487056,2,27,8
"11860",0.207944154950349,1,6.976510065,0
"11900",0.318058575608708,3,8,10
"11940",0.169822782135594,2,9.244514,0
"11980",0.183151067720012,1,24.039677016,2.991964287
"12020",0.401489242631513,3,84.640780584,59.979862499
"12060",0.395058884046972,36,2634.470327895,5428.617876605
"12100",0.287787798638512,2,94.056748993,54.1212939
"12120",0.125004863245536,0,0.02519688,2.94
"12140",0.180014368307619,0,13.972671108,4.98245614
"12180",0.219736747464576,3,30.004890227,4.031001868
"12220",0.364285354679555,2,28.104101716,35.39643599
"12260",0.266567132136967,6,142,118
"12300",0.293280498160204,3,34,25
"12380",0.225574284009547,1,10.09456731,2.986725663
"12420",0.459784491380952,10,1060.23723246,2887.446779646
